country,country_code_2_digit,country_code_3_digit,population,reported_date,confirmed cases_count,deaths_count,source
Spain,ES,ESP,46937060,2020-07-29,2031,5,"Epidemic intelligence, national daily data"
Turkey,TR,TUR,82003882,2020-05-13,1704,53,"Epidemic intelligence, national daily data"
Slovenia,SI,SVN,2080908,2020-05-31,0,0,"Epidemic intelligence, national daily data"
Switzerland,CH,CHE,8544527,2020-02-25,0,0,"Epidemic intelligence, national daily data"
Andorra,AD,AND,76177,2020-03-27,36,3,"Epidemic intelligence, national daily data"
Andorra,AD,AND,76177,2020-07-06,0,0,"Epidemic intelligence, national daily data"
Cyprus,CY,CYP,875899,2020-10-12,0,0,"Epidemic intelligence, national daily data"
Czechia,CZ,CZE,10649800,2020-02-24,0,0,"Epidemic intelligence, national daily data"
Czechia,CZ,CZE,10649800,2020-04-05,282,6,"Epidemic intelligence, national daily data"
Bulgaria,BG,BGR,7000039,2020-08-27,162,14,"Epidemic intelligence, national daily data"
Cyprus,CY,CYP,875899,2020-03-28,16,2,"Epidemic intelligence, national daily data"
Kosovo,,,1798506,2020-04-20,28,2,"Epidemic intelligence, national daily data"
Finland,FI,FIN,5517919,2020-02-01,0,0,"Epidemic intelligence, national daily data"
Montenegro,ME,MNE,622182,2020-01-20,0,0,"Epidemic intelligence, national daily data"
Georgia,GE,GEO,3989175,2020-01-24,0,0,"Epidemic intelligence, national daily data"
Kosovo,,,1798506,2020-05-14,8,0,"Epidemic intelligence, national daily data"
Guernsey,GG,GGY,64468,2020-07-27,0,0,"Epidemic intelligence, national daily data"
Montenegro,ME,MNE,622182,2020-03-30,1,0,"Epidemic intelligence, national daily data"
Greece,EL,GRC,10724599,2020-10-10,391,1,"Epidemic intelligence, national daily data"
Malta,MT,MLT,493559,2020-07-03,0,0,"Epidemic intelligence, national daily data"
Guernsey,GG,GGY,64468,2020-09-30,0,0,"Epidemic intelligence, national daily data"
Finland,FI,FIN,5517919,2020-04-22,146,43,"Epidemic intelligence, national daily data"
Montenegro,ME,MNE,622182,2020-09-02,82,2,"Epidemic intelligence, national daily data"
Jersey,JE,JEY,107796,2020-06-07,2,0,"Epidemic intelligence, national daily data"
Monaco,MC,MCO,33085,2020-10-20,3,0,"Epidemic intelligence, national daily data"
Monaco,MC,MCO,33085,2020-08-11,0,0,"Epidemic intelligence, national daily data"
Montenegro,ME,MNE,622182,2020-02-29,0,0,"Epidemic intelligence, national daily data"
Jersey,JE,JEY,107796,2020-01-13,0,0,"Epidemic intelligence, national daily data"
Moldova,MD,MDA,4033963,2020-01-15,0,0,"Epidemic intelligence, national daily data"
Faroes,,,48865,2020-06-08,0,0,"Epidemic intelligence, national daily data"
Latvia,LV,LVA,1919968,2020-07-02,3,0,"Epidemic intelligence, national daily data"
Luxembourg,LU,LUX,613894,2020-08-31,45,0,"Epidemic intelligence, national daily data"
Isle of Man,,,85032,2020-07-03,0,0,"Epidemic intelligence, national daily data"
Lithuania,LT,LTU,2794184,2020-02-04,0,0,"Epidemic intelligence, national daily data"
Kosovo,,,1798506,2020-01-08,0,0,"Epidemic intelligence, national daily data"
Italy,IT,ITA,60359546,2020-05-27,397,78,"Epidemic intelligence, national daily data"
Iceland,IS,ISL,356991,2020-02-25,0,0,"Epidemic intelligence, national daily data"
Monaco,MC,MCO,33085,2020-08-19,0,0,"Epidemic intelligence, national daily data"
Montenegro,ME,MNE,622182,2020-03-21,1,0,"Epidemic intelligence, national daily data"
Netherlands,NL,NLD,17282163,2020-04-04,1026,148,"Epidemic intelligence, national daily data"
Latvia,LV,LVA,1919968,2020-01-27,0,0,"Epidemic intelligence, national daily data"
Netherlands,NL,NLD,17282163,2020-03-14,190,0,"Epidemic intelligence, national daily data"
Jersey,JE,JEY,107796,2020-06-18,2,0,"Epidemic intelligence, national daily data"
Netherlands,NL,NLD,17282163,2020-10-21,8149,45,"Epidemic intelligence, national daily data"
Georgia,GE,GEO,3989175,2020-03-12,1,0,"Epidemic intelligence, national daily data"
Malta,MT,MLT,493559,2020-01-18,0,0,"Epidemic intelligence, national daily data"
Monaco,MC,MCO,33085,2020-08-14,2,0,"Epidemic intelligence, national daily data"
Moldova,MD,MDA,4033963,2020-05-30,171,6,"Epidemic intelligence, national daily data"
Georgia,GE,GEO,3989175,2020-06-10,6,0,"Epidemic intelligence, national daily data"
Serbia,RS,SRB,6963764,2020-08-22,169,3,"Epidemic intelligence, national daily data"
the Holy See/ Vatican City State,VA,VAT,809,2020-04-23,0,0,"Epidemic intelligence, national daily data"
the Holy See/ Vatican City State,VA,VAT,809,2020-06-20,0,0,"Epidemic intelligence, national daily data"
Portugal,PT,PRT,10276617,2020-06-16,346,3,"Epidemic intelligence, national daily data"
Slovenia,SI,SVN,2080908,2020-05-09,4,1,"Epidemic intelligence, national daily data"
Slovakia,SK,SVK,5450421,2020-09-09,91,0,"Epidemic intelligence, national daily data"
San Marino,SM,SMR,34453,2020-04-08,2,2,"Epidemic intelligence, national daily data"
Spain,ES,ESP,46937060,2020-10-13,7118,80,"Epidemic intelligence, national daily data"
Slovakia,SK,SVK,5450421,2020-09-21,131,0,"Epidemic intelligence, national daily data"
Slovenia,SI,SVN,2080908,2020-03-21,22,0,"Epidemic intelligence, national daily data"
Slovenia,SI,SVN,2080908,2020-04-09,36,4,"Epidemic intelligence, national daily data"
Russia,RU,RUS,145934460,2020-10-12,13634,143,"Epidemic intelligence, national daily data"
Sweden,SE,SWE,10230185,2020-07-21,131,6,"Epidemic intelligence, national daily data"
Russia,RU,RUS,145934460,2020-05-07,10559,86,"Epidemic intelligence, national daily data"
Spain,ES,ESP,46937060,2020-08-30,0,0,"Epidemic intelligence, national daily data"
San Marino,SM,SMR,34453,2020-10-22,8,0,"Epidemic intelligence, national daily data"
North Macedonia,MK,MKD,2077132,2020-04-11,48,0,"Epidemic intelligence, national daily data"
Poland,PL,POL,37972812,2020-01-05,0,0,"Epidemic intelligence, national daily data"
Russia,RU,RUS,145934460,2020-10-18,14922,279,"Epidemic intelligence, national daily data"
Slovakia,SK,SVK,5450421,2020-05-16,3,0,"Epidemic intelligence, national daily data"
the Holy See/ Vatican City State,VA,VAT,809,2020-04-06,0,0,"Epidemic intelligence, national daily data"
Poland,PL,POL,37972812,2020-03-23,98,2,"Epidemic intelligence, national daily data"
Austria,AT,AUT,8858775,2020-09-19,821,5,"Epidemic intelligence, national daily data"
Belarus,BY,BLR,9449321,2020-10-10,489,5,"Epidemic intelligence, national daily data"
Bulgaria,BG,BGR,7000039,2020-05-14,46,1,"Epidemic intelligence, national daily data"
Azerbaijan,AZ,AZE,10139175,2020-08-26,133,2,"Epidemic intelligence, national daily data"
Belarus,BY,BLR,9449321,2020-02-03,0,0,"Epidemic intelligence, national daily data"
Croatia,HR,HRV,4076246,2020-09-02,145,1,"Epidemic intelligence, national daily data"
Azerbaijan,AZ,AZE,10139175,2020-10-09,191,1,"Epidemic intelligence, national daily data"
Andorra,AD,AND,76177,2020-03-15,0,0,"Epidemic intelligence, national daily data"
